conversation,person_couple
"[PELLICO] ""Ho provato a cucinare una zuppa. Spero sia abbastanza buona per i tuoi standard."" Ortolana: ""Buona? Non è abbastanza calda. E il sale? Non è abbastanza?"" Pellico: ""Mi dispiace, non me n’ero accorta."" Ortolana: ""Dovresti essere più attenta quando cucini. Se non sai che il sale è troppo poco, come fai a non sapere che la zuppa non è calda abbastanza?"" Pellico: ""Ho cercato di fare del mio meglio. Spero che il prossimo pasto sarà meglio."" Ortolana: ""Il prossimo pasto sarà meglio se farai le cose esattamente come me ti ho detto di fare.""",Perfezionista Critico e Insicura Cronica
"[MARINO] ""Non credo che sia una buona idea uscire con i vecchi amici. Sembra che tu lo apprezzi molto."" Americo: ""Non è vero! Sono solo una persona che conosci. Non significa niente. Sono felice quando sono con te."" Marino: ""Sì, lo sei... o almeno lo sei per me. Ma non credo che dovresti uscire con lui. Non è sicuro."" Americo: ""Va bene, non uscirò più con lui. Sarò più felice a casa con te."" Marino: ""Ecco. Non voglio che tu ti diverta senza di me. Non voglio che tu ti senta libera."" Americo: ""Non voglio che tu ti senta geloso. Mi dispiace. Spero che possiamo parlare di questo in persona."" Marino: ""Non ho bisogno di parlare di questo. So già tutto. Non hai bisogno di uscire per divertirti. Sono io il tuo unico bisogno."" Americo: ""Marino... Per favore, non essere così... Sono felice di stare con te, ma non è giusto che tu non mi lasci fare nulla senza di te. Non sei geloso perché sei geloso, ma perché sei in ansia."" Marino: ""Non ho bisogno di parlare di questo. So già tutto. Non hai bisogno di uscire per divertirti. Sono io il tuo unico bisogno."" Americo: ""Marino... Per favore, non essere così... Sono felice di stare con te, ma non è giusto che tu non mi lasci fare nulla senza di te. Non sei geloso perché sei gelioso, ma perché sei in ansia."" Marino: ""Americo, non voglio che tu ti diverta senza di me. Non voglio che tu ti senta libera. Tu sei mia e io sono il tuo unico bisogno."" Americo: ""Marino... Non sono tua. Sono una persona che ama te. Non è giusto che tu non mi lasci fare nulla senza di te. Non sei geloso perché sei geloso, ma perché sei in ansia."" Marino: ""Americo, non",Geloso-Ossessivo e Sottomessa
"[ALDOBRANDO] ""Ciao, come stai?"" Pacino: ""Non sono felice di essere vivo. Non serve parlare, è tutto inutile."" Aldobrando: ""Perché dici così? Che è successo?"" Pacino: ""Tutto è successo. Non c'è nulla di buono in questo mondo."" Aldobrando: ""Non dire così. Sono qui per te, ti aiuterò."" Pacino: ""Non c'è aiuto. Non c'è speranza. È tutto inutile.""",Vittimista e Croccerossina
"[TIZIANA] ""Hai già cenato?"" Ariana: ""No, perché dovresti ricordarti che ho fame?"" Tiziana: ""Mi dispiace, non volevo sembrare sgarbata."" Ariana: ""Non è una questione di sgarbata o no, è una questione di ordine. Il frigorifero è pieno di cibi in scadenza."" Tiziana: ""Sono spiacente, avrò dimenticato di buttarli via."" Ariana: ""Dimenticati? Dimenticati? Questo è il tuo problema, Tiziana. Sei sempre dimenticata. Hai sempre bisogno che ti ricordi delle cose.""",Perfezionista Critico e Insicura Cronica
"[SCONOSCIUTO] C'era solo una cosa. Hai dimenticato il dessert. Non hai pensato di comprarlo al supermercato? Non c'era bisogno di farlo. Avevo già pensato a tutto. Hai fatto il dolce da sola? Spero che non abbia messo il miele al posto della farina. Non mi permetterei mai di fare errori. Ma tu, invece, sì. Non ti preoccupare per il dolce. L'ho fatto con le mani. Non doveva essere perfetto, solo buono. Il tuo problema non è essere buona o cattiva. È essere perfetta. Non capisco perché non riesco mai a soddisarti. Sei sempre troppo impegnata a cercare errori per vedere il bello. Non sarò mai perfetta. Ecco il mio problema.",Perfezionista Critico e Insicura Cronica
"[ISIDO        SE NON FOSSI TU, NON AVREI SUCCESSO, E NEMMENO SAPREI COSA FARE SENZA DI TE.        2023-02-12 12] 00:00 Pisana Sei tu che sei il mio successo, e il mio amore. Non riesco a immaginare come sarebbe la mia vita senza di te. 2023-02-12 12:10:00 Isido Sono la tua fonte di ispirazione. Sei tu che non riesci a capire come sei fortunata ad avere un uomo come me. 2023-02-12 12:15:00 Pisana Sei sempre stato il mio modello, e il mio idolo. Non riesco a immaginare un uomo più speciale di te. 2023-02-12 12:20:00 Isido Sei troppo stupida per capire che le tue opinioni sono inutili. Sono io che decido cosa è giusto e cosa è sbagliato. 2023-02-12 12:25:00 Pisana Hai ragione, come sempre. Ti seguirò sempre, e farò sempre ciò che vuoi. 2023-02-12 12:30:00",Narcisista e Succube
"[ORDALIA] ""Chi cazzo era quel tipo con cui sei uscita?"" Santo: ""Era solo un amico... Stavamo parlando dei vecchi tempi, nient'altro. Non c'è niente di cui preoccuparsi."" Ordalia: ""Niente di cui preoccuparsi? E allora perché ridevi? Non sembri mai così felice quando parli con me."" Santo: ""Mi dispiace, davvero. Non volevo farti sentire escluso. Non significa nulla, veramente..."" Ordalia: ""Prometti? Le promesse non significano nulla. Tu con lui non devi uscrire."" Santo: ""Va bene...""",Geloso-Ossessivo e Sottomessa
"[ORGILLA] Non sono mai felice con le tue scelte. Non capisco perché non riesci a prendere una decisione semplice. Rosana: Non ti capisco, sei sempre così difficile! Sei così intelligente, e io sono così felice di poter contare sulla tua saggezza. Orgilla: Non ti aspettare che ti aiuti sempre. Non ti ho detto che ti sto aiutando solo perché sei così dipendente da me. Rosana: Sono così grata per il tuo aiuto. Non so cosa farei senza di te. Sono una persona fallibile, e tu sei la mia unica speranza. Orgilla: Non essere così ingenua. So che sei una persona astuta, ma a volte sembri un'ingenua. Sono sempre tu a chiedere consiglio, e non riesci a capire che sei tu a dovermi aiutare. Rosana: Sono così felice di poter essere di aiuto. Sei così superiore, e io sono solo una persona comune che cerca di raggiungere il tuo livello. Sono grata per la tua pazienza con me. Orgilla: Non essere così esagerata. Sono stanco di sentirti sempre dire che sei grata. Non è il mio problema, è tuo. E se sei così grata, perché non puoi fare qualcosa per aiutarmi? Rosana: Farò tutto ciò che è in mio potere. Sarò sempre felice di aiutarti. Spero che un giorno potrò essere come te. Orgilla: Non essere così ottimista. Non puoi diventare come me, e non è pericoloso che tu continui a sperare. Io sono la tua guida, e tu dovresti essere felice di essere la mia discepola. Rosana: Sono così felice di poter essere la tua discepola. Sono una persona povera di spirito, e tu sei la mia unica fonte di ispirazione. Spero che un giorno potrò diventare come te, ma fino a quel momento sarò sempre felice di essere la tua ammiratrice. Orgilla: Non essere così ingenu",Psicopatico e Adulatrice
"[1.              GALLIO] ""Ciao. Come va oggi?"" Varniero: ""Ecco come vanno le cose. Quando sei felice è una brutta giornata."" 2. Gallio: ""Mi dispiace. Cercherò di essere più carina. Cosa devo fare?"" Varniero: ""Non c’è bisogno di essere carina, solo di esistere per farmi stare male. Altrimenti, non ti noto nemmeno."" 3. Gallio: ""Mi dispiace. Cercherò di migliorare. Che posso fare per te?"" Varniero: ""Non importa. Non avrò mai bisogno di te. Ogni tanto mi rinfreschi ricordando come sei inadeguata."" 4. Gallio: ""Mi dispiace. Cercherò di fare del mio meglio per essere una buona ragazza."" Varniero: ""Non puoi mai essere buona abbastanza per me. Non puoi neanche essere buona. Ma non importa. Non sto cercando una buona ragazza. Sto cercando una ragazza che mi faccia soffrire e che mi ricordi che mi merito il peggio."" 5. Gallio: ""Mi dispiace. Non so come fare per farti stare meglio. Posso provare a essere più dolce?"" Varniero: ""Non serve. Non serve essere dolce. Sarebbe meglio se fossi più piccola e più debole. Allora potresti imparare qualcosa. Ma non importa. Sei come sei e non puoi essere cambiata."" 6. Gallio: ""Mi dispiace. Non so come fare per essere una buona ragazza per te."" Varniero: ""Non devi fare nulla. Sei già perfetta. Saresti perfetta se fossi più piccola e più debole. Ma non importa. Non hai bisogno di essere una buona ragazza per me. Hai bisogno di essere una ragazza che non riesce mai e che non mi piace mai. Allora puoi stare tranquilla e non devi più fare nulla.""",Sadico-Crudele e Masochista
"[CASTOLO] ""Spero che tu possa trovare un po' di pace. Mi dispiace, vorrei poterti aiutare."" Claro: ""Sono spaventato. Non so come fare. Non riesco a smettere di pensare a me."" Castolo: ""Forse dovrei smettere di cercare di aiutarti. Non so cosa fare."" Claro: ""Non sei tu che devi smettere. È solo che tu non capisci. Non riesco a smettere di pensare a me."" Castolo: ""Voglio capire. Spero che tu possa trovarmi un po' di aiuto."" Claro: ""Non so che fare. Non riesco a smettere di pensare a me.""",Vittimista e Croccerossina
